dates,values
24-03-2023,50.509998
27-03-2023,50.540001
28-03-2023,50.389999
29-03-2023,51.169998
30-03-2023,51.43
31-03-2023,52.279999
03-04-2023,52.310001
04-04-2023,51.82
05-04-2023,51.82
06-04-2023,51.27
10-04-2023,51.330002
11-04-2023,50.619999
12-04-2023,50.110001
13-04-2023,50.799999
14-04-2023,50.540001
17-04-2023,50.279999
18-04-2023,50.310001
19-04-2023,48.040001
20-04-2023,46.580002
21-04-2023,47.029999
24-04-2023,47.389999
25-04-2023,47.09
26-04-2023,46.540001
27-04-2023,46.560001
28-04-2023,47.25
01-05-2023,47.34
02-05-2023,46.360001
03-05-2023,45.959999
04-05-2023,45.700001
05-05-2023,46.25
08-05-2023,46.34
09-05-2023,46.470001
10-05-2023,46.709999
11-05-2023,46.369999
12-05-2023,46.709999
15-05-2023,47.099998
16-05-2023,46.919998
17-05-2023,47.630001
18-05-2023,48.200001
19-05-2023,49.130001
22-05-2023,48.82
23-05-2023,48.91
24-05-2023,48.41
25-05-2023,49.029999
26-05-2023,49.860001
30-05-2023,50.169998
31-05-2023,49.669998
01-06-2023,49.740002
02-06-2023,50.02
05-06-2023,50.209999
06-06-2023,49.810001
07-06-2023,49.779999
08-06-2023,49.68
09-06-2023,49.66
12-06-2023,50.48
13-06-2023,50.799999
14-06-2023,50.959999
15-06-2023,51.93
16-06-2023,52.07
20-06-2023,51.549999
21-06-2023,50.849998
22-06-2023,51.119999
23-06-2023,50.330002
26-06-2023,50.209999
27-06-2023,50.860001
28-06-2023,50.869999
29-06-2023,51.209999
30-06-2023,51.740002
03-07-2023,51.82
05-07-2023,51.509998
06-07-2023,51.110001
07-07-2023,50.990002
10-07-2023,51.400002
11-07-2023,52.119999
12-07-2023,50.740002
13-07-2023,51.529999
14-07-2023,50.380001
17-07-2023,50.810001
18-07-2023,51.240002
19-07-2023,52.43
20-07-2023,52.369999
21-07-2023,52.630001
24-07-2023,53.110001
25-07-2023,53.599998
26-07-2023,53.220001
27-07-2023,53
28-07-2023,52.09
31-07-2023,52.040001
01-08-2023,52.66
02-08-2023,52.580002
03-08-2023,53.150002
04-08-2023,52.630001
07-08-2023,53.009998
08-08-2023,53.060001
09-08-2023,52.990002
10-08-2023,53.369999
11-08-2023,53.790001
14-08-2023,53.880001
15-08-2023,53.349998
16-08-2023,52.959999
17-08-2023,54.73
18-08-2023,55.040001
21-08-2023,55.439999
22-08-2023,55.459999
23-08-2023,55.98
24-08-2023,55.240002
25-08-2023,55.700001
28-08-2023,56.200001
29-08-2023,56.560001
30-08-2023,56.810001
31-08-2023,57.349998
01-09-2023,57.84
05-09-2023,57.259998
06-09-2023,57.16
07-09-2023,56.790001
08-09-2023,56.669998
11-09-2023,56.84
12-09-2023,56.389999
13-09-2023,56.279999
14-09-2023,56.369999
15-09-2023,56.040001
18-09-2023,56.110001
19-09-2023,55.84
20-09-2023,55.5
21-09-2023,53.34
22-09-2023,53.57
25-09-2023,53.48
26-09-2023,52.709999
27-09-2023,53.200001
28-09-2023,53.880001
29-09-2023,53.759998
02-10-2023,54.389999
03-10-2023,53.650002
04-10-2023,53.450001
05-10-2023,53.07
06-10-2023,53.450001
09-10-2023,53.919998
10-10-2023,53.869999
11-10-2023,53.66
12-10-2023,53.849998
13-10-2023,53.77
16-10-2023,54.16
17-10-2023,53.939999
18-10-2023,53.77
19-10-2023,53.32
20-10-2023,52.93
23-10-2023,52.200001
24-10-2023,53.009998
25-10-2023,52.400002
26-10-2023,51.369999
27-10-2023,51.560001
30-10-2023,51.57
31-10-2023,52.130001
01-11-2023,52.189999
02-11-2023,52.75
03-11-2023,53.009998
06-11-2023,53.290001
07-11-2023,53.130001
08-11-2023,53
09-11-2023,52
10-11-2023,52.59
13-11-2023,52.23
14-11-2023,53.169998
15-11-2023,53.279999
16-11-2023,48.040001
17-11-2023,47.759998
20-11-2023,48.27
21-11-2023,47.799999
22-11-2023,48.080002
24-11-2023,48.360001
27-11-2023,47.93
28-11-2023,47.849998
29-11-2023,48.049999
30-11-2023,48.380001
01-12-2023,48.470001
04-12-2023,48.049999
05-12-2023,47.93
06-12-2023,47.700001
07-12-2023,48.259998
08-12-2023,48.380001
11-12-2023,49.389999
12-12-2023,49.330002
13-12-2023,49.689999
14-12-2023,49.439999
15-12-2023,49.869999
18-12-2023,50.240002
19-12-2023,50.18
20-12-2023,49.799999
21-12-2023,49.700001
22-12-2023,50.09
26-12-2023,50.279999
27-12-2023,50.439999
28-12-2023,50.48
29-12-2023,50.52
02-01-2024,50.509998
03-01-2024,50.509998
04-01-2024,50.080002
05-01-2024,50.09
08-01-2024,50.459999
09-01-2024,49.91
10-01-2024,50.240002
11-01-2024,50.439999
12-01-2024,50.34
16-01-2024,50.59
17-01-2024,50.299999
18-01-2024,50.75
19-01-2024,51.27
22-01-2024,51.57
23-01-2024,51.759998
24-01-2024,51.310001
25-01-2024,52.330002
26-01-2024,52.139999
29-01-2024,52.290001
30-01-2024,52.240002
31-01-2024,50.18
01-02-2024,50.18
02-02-2024,50.18
05-02-2024,49.509998
06-02-2024,49.98
07-02-2024,49.77
08-02-2024,49.950001
09-02-2024,50.130001
12-02-2024,49.990002
13-02-2024,49.639999
14-02-2024,50.279999
15-02-2024,49.060001
16-02-2024,48.439999
20-02-2024,48.279999
21-02-2024,48.48
22-02-2024,48.57
23-02-2024,48.860001
26-02-2024,48.400002
27-02-2024,48.310001
28-02-2024,48.060001
29-02-2024,48.369999
01-03-2024,48.400002
04-03-2024,49.130001
05-03-2024,48.950001
06-03-2024,49.169998
07-03-2024,48.900002
08-03-2024,49.5
