dates,values
24-03-2023,36.810001
27-03-2023,37.630001
28-03-2023,37.560001
29-03-2023,38.639999
30-03-2023,39.439999
31-03-2023,39.939999
03-04-2023,40.060001
04-04-2023,40.490002
05-04-2023,40.34
06-04-2023,40.23
10-04-2023,39.900002
11-04-2023,41.400002
12-04-2023,41.150002
13-04-2023,41.759998
14-04-2023,42.689999
17-04-2023,42.709999
18-04-2023,44.200001
19-04-2023,43.82
20-04-2023,42.75
21-04-2023,42.52
24-04-2023,42.369999
25-04-2023,41.700001
26-04-2023,41.470001
27-04-2023,41.790001
28-04-2023,42.82
01-05-2023,43.389999
02-05-2023,43.880001
03-05-2023,44.799999
04-05-2023,44.09
05-05-2023,44.610001
08-05-2023,45.169998
09-05-2023,45.27
10-05-2023,45.450001
11-05-2023,44.48
12-05-2023,44.189999
15-05-2023,44.450001
16-05-2023,44.68
17-05-2023,45.240002
18-05-2023,45.650002
19-05-2023,47.360001
22-05-2023,46.369999
23-05-2023,46.34
24-05-2023,45.25
25-05-2023,46.560001
26-05-2023,47.48
30-05-2023,47.169998
31-05-2023,44.450001
01-06-2023,44.709999
02-06-2023,45.369999
05-06-2023,45.299999
06-06-2023,45.16
07-06-2023,46.77
08-06-2023,47.200001
09-06-2023,47.59
12-06-2023,47.619999
13-06-2023,48.25
14-06-2023,48.630001
15-06-2023,49.18
16-06-2023,49.529999
20-06-2023,48.740002
21-06-2023,49.41
22-06-2023,49.759998
23-06-2023,50.509998
26-06-2023,50.720001
27-06-2023,50.849998
28-06-2023,50.91
29-06-2023,51.799999
30-06-2023,53.759998
03-07-2023,53.740002
05-07-2023,53.860001
06-07-2023,53.34
07-07-2023,53.470001
10-07-2023,53.220001
11-07-2023,54.880001
12-07-2023,54.150002
13-07-2023,54.220001
14-07-2023,54.84
17-07-2023,54.689999
18-07-2023,53.119999
19-07-2023,53.950001
20-07-2023,53.240002
21-07-2023,53.43
24-07-2023,53.580002
25-07-2023,54
26-07-2023,53.759998
27-07-2023,53.59
28-07-2023,52.529999
31-07-2023,52.360001
01-08-2023,52.779999
02-08-2023,52.470001
03-08-2023,52.049999
04-08-2023,53.060001
07-08-2023,53.529999
08-08-2023,54.82
09-08-2023,56.549999
10-08-2023,55.419998
11-08-2023,55.75
14-08-2023,56.290001
15-08-2023,55.689999
16-08-2023,55.16
17-08-2023,54.630001
18-08-2023,54.330002
21-08-2023,55.080002
22-08-2023,55.549999
23-08-2023,55.709999
24-08-2023,56.220001
25-08-2023,55.619999
28-08-2023,56.07
29-08-2023,56.32
30-08-2023,53.619999
31-08-2023,55.560001
01-09-2023,63.860001
05-09-2023,67.540001
06-09-2023,67.830002
07-09-2023,68.57
08-09-2023,69.089996
11-09-2023,70.559998
12-09-2023,70.589996
13-09-2023,69.760002
14-09-2023,70.120003
15-09-2023,68.650002
18-09-2023,68.400002
19-09-2023,69.279999
20-09-2023,68.870003
21-09-2023,68.040001
22-09-2023,68.620003
25-09-2023,69.400002
26-09-2023,68.93
27-09-2023,67.230003
28-09-2023,68.059998
29-09-2023,68.550003
02-10-2023,67.339996
03-10-2023,66.82
04-10-2023,66.459999
05-10-2023,64.32
06-10-2023,65.889999
09-10-2023,66
10-10-2023,67.339996
11-10-2023,68.080002
12-10-2023,68.650002
13-10-2023,67.760002
16-10-2023,67.260002
17-10-2023,66.699997
18-10-2023,66.870003
19-10-2023,66.790001
20-10-2023,65.349998
23-10-2023,64.690002
24-10-2023,66.019997
25-10-2023,66.080002
26-10-2023,63.900002
27-10-2023,65
30-10-2023,65.839996
31-10-2023,65.730003
01-11-2023,66.75
02-11-2023,68.309998
03-11-2023,68.639999
06-11-2023,69.760002
07-11-2023,71.150002
08-11-2023,71.029999
09-11-2023,71.660004
10-11-2023,72.410004
13-11-2023,72.349998
14-11-2023,73.330002
15-11-2023,72.510002
16-11-2023,71.809998
17-11-2023,72.610001
20-11-2023,73.110001
21-11-2023,72.910004
22-11-2023,74.010002
24-11-2023,74.169998
27-11-2023,73.339996
28-11-2023,73.849998
29-11-2023,74.419998
30-11-2023,74.639999
01-12-2023,68.5
04-12-2023,68.669998
05-12-2023,69.110001
06-12-2023,67.510002
07-12-2023,67.57
08-12-2023,68.43
11-12-2023,68.489998
12-12-2023,68.940002
13-12-2023,69.269997
14-12-2023,70.889999
15-12-2023,71.389999
18-12-2023,71.050003
19-12-2023,72.860001
20-12-2023,72.309998
21-12-2023,73.389999
22-12-2023,75.050003
26-12-2023,75.870003
27-12-2023,76.919998
28-12-2023,76.650002
29-12-2023,76.199997
02-01-2024,74.32
03-01-2024,74.559998
04-01-2024,75.839996
05-01-2024,75.330002
08-01-2024,77.360001
09-01-2024,77.059998
10-01-2024,77.68
11-01-2024,77.540001
12-01-2024,79.190002
16-01-2024,78.5
17-01-2024,76.900002
18-01-2024,77.699997
19-01-2024,79.120003
22-01-2024,81
23-01-2024,80.540001
24-01-2024,83
25-01-2024,83.010002
26-01-2024,82.120003
29-01-2024,83.349998
30-01-2024,84.32
31-01-2024,81.82
01-02-2024,83
02-02-2024,85.220001
05-02-2024,84.760002
06-02-2024,82.160004
07-02-2024,82.779999
08-02-2024,83.510002
09-02-2024,85.010002
12-02-2024,85.830002
13-02-2024,83.449997
14-02-2024,84.720001
15-02-2024,82.419998
16-02-2024,82.790001
20-02-2024,81.220001
21-02-2024,80.489998
22-02-2024,85.400002
23-02-2024,88
26-02-2024,91.800003
27-02-2024,90.730003
28-02-2024,91.269997
29-02-2024,91
01-03-2024,116.449997
04-03-2024,120.800003
05-03-2024,113.889999
06-03-2024,116.959999
07-03-2024,119.309998
