dates,values
24-03-2023,4.56
27-03-2023,4.66
28-03-2023,4.63
29-03-2023,4.72
30-03-2023,4.8
31-03-2023,4.85
03-04-2023,4.85
04-04-2023,4.86
05-04-2023,4.87
06-04-2023,4.86
10-04-2023,4.79
11-04-2023,4.88
12-04-2023,4.87
13-04-2023,4.9
14-04-2023,4.88
17-04-2023,4.81
18-04-2023,4.59
19-04-2023,4.55
20-04-2023,4.13
21-04-2023,4.16
24-04-2023,4.18
25-04-2023,4.09
26-04-2023,4.14
27-04-2023,4.11
28-04-2023,4.15
01-05-2023,4.15
02-05-2023,4.07
03-05-2023,4.05
04-05-2023,4.01
05-05-2023,4.04
08-05-2023,4.1
09-05-2023,4.06
10-05-2023,4.05
11-05-2023,3.99
12-05-2023,4.01
15-05-2023,4.03
16-05-2023,3.95
17-05-2023,3.98
18-05-2023,3.99
19-05-2023,4.04
22-05-2023,4.04
23-05-2023,4.03
24-05-2023,3.93
25-05-2023,3.94
26-05-2023,4
30-05-2023,4.01
31-05-2023,3.98
01-06-2023,4.01
02-06-2023,4.03
05-06-2023,4.04
06-06-2023,3.98
07-06-2023,4.01
08-06-2023,3.98
09-06-2023,4
12-06-2023,3.99
13-06-2023,4.08
14-06-2023,4.12
15-06-2023,4.17
16-06-2023,4.24
20-06-2023,4.18
21-06-2023,4.1
22-06-2023,4.06
23-06-2023,3.97
26-06-2023,4.02
27-06-2023,4.04
28-06-2023,4.13
29-06-2023,4.11
30-06-2023,4.14
03-07-2023,4.23
05-07-2023,4.16
06-07-2023,4.11
07-07-2023,4.13
10-07-2023,4.15
11-07-2023,4.18
12-07-2023,4.24
13-07-2023,4.32
14-07-2023,3.91
17-07-2023,3.83
18-07-2023,3.86
19-07-2023,3.89
20-07-2023,3.88
21-07-2023,3.92
24-07-2023,3.92
25-07-2023,3.94
26-07-2023,3.9
27-07-2023,3.9
28-07-2023,3.91
31-07-2023,3.91
01-08-2023,3.9
02-08-2023,3.88
03-08-2023,3.86
04-08-2023,3.87
07-08-2023,3.88
08-08-2023,3.85
09-08-2023,3.9
10-08-2023,3.94
11-08-2023,3.87
14-08-2023,3.85
15-08-2023,3.8
16-08-2023,3.75
17-08-2023,3.77
18-08-2023,3.76
21-08-2023,3.79
22-08-2023,3.79
23-08-2023,3.79
24-08-2023,3.76
25-08-2023,3.76
28-08-2023,3.81
29-08-2023,3.92
30-08-2023,3.96
31-08-2023,3.97
01-09-2023,3.99
05-09-2023,3.99
06-09-2023,4
07-09-2023,4.02
08-09-2023,4.02
11-09-2023,4.03
12-09-2023,4.02
13-09-2023,3.98
14-09-2023,3.97
15-09-2023,3.92
18-09-2023,3.93
19-09-2023,3.97
20-09-2023,3.96
21-09-2023,3.87
22-09-2023,3.88
25-09-2023,3.8
26-09-2023,3.73
27-09-2023,3.67
28-09-2023,3.68
29-09-2023,3.74
02-10-2023,3.67
03-10-2023,3.66
04-10-2023,3.6
05-10-2023,3.52
06-10-2023,3.5
09-10-2023,3.5
10-10-2023,3.59
11-10-2023,3.55
12-10-2023,3.54
13-10-2023,3.51
16-10-2023,3.55
17-10-2023,3.47
18-10-2023,3.38
19-10-2023,3.05
20-10-2023,3.15
23-10-2023,3.14
24-10-2023,3.16
25-10-2023,3.19
26-10-2023,3.19
27-10-2023,3.25
30-10-2023,3.25
31-10-2023,3.29
01-11-2023,3.22
02-11-2023,3.31
03-11-2023,3.42
06-11-2023,3.42
07-11-2023,3.4
08-11-2023,3.44
09-11-2023,3.44
10-11-2023,3.42
13-11-2023,3.45
14-11-2023,3.55
15-11-2023,3.57
16-11-2023,3.51
17-11-2023,3.54
20-11-2023,3.55
21-11-2023,3.53
22-11-2023,3.52
24-11-2023,3.52
27-11-2023,3.52
28-11-2023,3.5
29-11-2023,3.55
30-11-2023,3.48
01-12-2023,3.42
04-12-2023,3.16
05-12-2023,2.94
06-12-2023,3.01
07-12-2023,3.02
08-12-2023,3.16
11-12-2023,3.11
12-12-2023,3.17
13-12-2023,3.17
14-12-2023,3.32
15-12-2023,3.23
18-12-2023,3.2
19-12-2023,3.29
20-12-2023,3.25
21-12-2023,3.24
22-12-2023,3.34
26-12-2023,3.3
27-12-2023,3.38
28-12-2023,3.36
29-12-2023,3.34
02-01-2024,3.38
03-01-2024,3.35
04-01-2024,3.42
05-01-2024,3.43
08-01-2024,3.46
09-01-2024,3.47
10-01-2024,3.46
11-01-2024,3.47
12-01-2024,3.51
16-01-2024,3.47
17-01-2024,3.42
18-01-2024,3.45
19-01-2024,3.36
22-01-2024,3.31
23-01-2024,3.35
24-01-2024,3.34
25-01-2024,3.69
26-01-2024,3.79
29-01-2024,3.77
30-01-2024,3.66
31-01-2024,3.58
01-02-2024,3.59
02-02-2024,3.54
05-02-2024,3.55
06-02-2024,3.53
07-02-2024,3.53
08-02-2024,3.6
09-02-2024,3.57
12-02-2024,3.58
13-02-2024,3.48
14-02-2024,3.46
15-02-2024,3.5
16-02-2024,3.5
20-02-2024,3.47
21-02-2024,3.48
22-02-2024,3.53
23-02-2024,3.53
26-02-2024,3.51
27-02-2024,3.51
28-02-2024,3.55
29-02-2024,3.52
01-03-2024,3.51
04-03-2024,3.57
05-03-2024,3.52
06-03-2024,3.56
07-03-2024,3.66
08-03-2024,3.61
11-03-2024,3.6
12-03-2024,3.61
13-03-2024,3.61
14-03-2024,3.64
15-03-2024,3.66
18-03-2024,3.47
19-03-2024,3.48
20-03-2024,3.49
21-03-2024,3.57
22-03-2024,3.56
