dates,values
03-01-2005,1349.8
04-01-2005,1350.75
05-01-2005,1330
06-01-2005,1327
07-01-2005,1330
10-01-2005,1350
11-01-2005,1332
12-01-2005,1330
13-01-2005,1329
14-01-2005,1305
17-01-2005,1305.05
18-01-2005,1274
19-01-2005,1270
20-01-2005,1255
24-01-2005,1245
25-01-2005,1216
27-01-2005,1240
28-01-2005,1245
31-01-2005,1294.95
01-02-2005,1305
02-02-2005,1317
03-02-2005,1309
04-02-2005,1310
07-02-2005,1315
08-02-2005,1312
09-02-2005,1322.25
10-02-2005,1330.1
11-02-2005,1345.1
14-02-2005,1400
15-02-2005,1412
16-02-2005,1390
17-02-2005,1373
18-02-2005,1381
21-02-2005,1370
22-02-2005,1368
23-02-2005,1365
24-02-2005,1380
25-02-2005,1379.7
28-02-2005,1365
01-03-2005,1378
02-03-2005,1359
03-03-2005,1370
04-03-2005,1396.3
07-03-2005,1397.5
08-03-2005,1400
09-03-2005,1410
10-03-2005,1402
11-03-2005,1409
14-03-2005,1440
15-03-2005,1455
16-03-2005,1440
17-03-2005,1445
18-03-2005,1459.7
21-03-2005,1471
22-03-2005,1455
23-03-2005,1445
24-03-2005,1425
28-03-2005,1390
29-03-2005,1395.9
30-03-2005,1373
31-03-2005,1400
01-04-2005,1430
04-04-2005,1450
05-04-2005,1430
06-04-2005,1430
07-04-2005,1449
08-04-2005,1427
11-04-2005,1395.05
12-04-2005,1365.5
13-04-2005,1390
15-04-2005,1349
18-04-2005,1315
19-04-2005,1310
20-04-2005,1189
21-04-2005,1115
22-04-2005,1155.1
25-04-2005,1159
26-04-2005,1148
27-04-2005,1130
28-04-2005,1118
29-04-2005,1113
02-05-2005,1130
03-05-2005,1129
04-05-2005,1112
05-05-2005,1128.9
06-05-2005,1139.9
09-05-2005,1171.5
10-05-2005,1178.7
11-05-2005,1148.1
12-05-2005,1149.95
13-05-2005,1149
16-05-2005,1148
17-05-2005,1161.3
18-05-2005,1145
19-05-2005,1156
20-05-2005,1163.7
23-05-2005,1170
24-05-2005,1225
25-05-2005,1215.05
26-05-2005,1255
27-05-2005,1290
30-05-2005,1270
31-05-2005,1324
01-06-2005,1329.8
02-06-2005,1303.5
03-06-2005,1268.25
06-06-2005,1281.05
07-06-2005,1280
08-06-2005,1275
09-06-2005,1300
10-06-2005,1277
13-06-2005,1273
14-06-2005,1271
15-06-2005,1267.4
16-06-2005,1277.8
17-06-2005,1284.7
20-06-2005,1270
21-06-2005,1289.9
22-06-2005,1306
23-06-2005,1335
24-06-2005,1303
27-06-2005,1318
28-06-2005,1315
29-06-2005,1325.65
30-06-2005,1340
01-07-2005,1350.8
04-07-2005,1349
05-07-2005,1354
06-07-2005,1320
07-07-2005,1324.55
08-07-2005,1309.5
11-07-2005,1324
12-07-2005,1310
13-07-2005,1300
14-07-2005,1279
15-07-2005,1230
18-07-2005,1277
19-07-2005,1320
20-07-2005,1329
21-07-2005,1310
22-07-2005,1289.5
25-07-2005,1300
26-07-2005,1280
27-07-2005,1290
29-07-2005,1260
01-08-2005,1270
02-08-2005,1260
03-08-2005,1305
04-08-2005,1320
05-08-2005,1305.25
08-08-2005,1285
09-08-2005,1285
10-08-2005,1290
11-08-2005,1301.85
12-08-2005,1322.7
16-08-2005,1285
17-08-2005,1269
18-08-2005,1305
19-08-2005,1313.5
22-08-2005,1330
23-08-2005,1256.3
24-08-2005,1312
25-08-2005,1309.8
26-08-2005,1325
29-08-2005,1365
30-08-2005,1365
31-08-2005,1388
01-09-2005,1404.7
02-09-2005,1430
05-09-2005,1437
06-09-2005,1415
08-09-2005,1399
09-09-2005,1407
12-09-2005,1400.55
13-09-2005,1430
14-09-2005,1411.1
15-09-2005,1402.5
16-09-2005,1455
19-09-2005,1460
20-09-2005,1455
21-09-2005,1450.6
22-09-2005,1450
23-09-2005,1425
26-09-2005,1420.8
27-09-2005,1470
28-09-2005,1460
29-09-2005,1475.1
30-09-2005,1475.9
03-10-2005,1490
04-10-2005,1497.1
05-10-2005,1487.1
06-10-2005,1460
07-10-2005,1435
10-10-2005,1450
11-10-2005,1460
13-10-2005,1480
14-10-2005,1445
17-10-2005,1490
18-10-2005,1440
19-10-2005,1440
20-10-2005,1420
21-10-2005,1415
24-10-2005,1440.1
25-10-2005,1414
26-10-2005,1440
27-10-2005,1425
28-10-2005,1400
31-10-2005,1367.55
02-11-2005,1412
07-11-2005,1430
08-11-2005,1470
09-11-2005,1480
10-11-2005,1458
11-11-2005,1475
14-11-2005,1481.1
16-11-2005,1511
17-11-2005,1514.7
18-11-2005,1515
21-11-2005,1532.6
22-11-2005,1515
23-11-2005,1500
24-11-2005,1520
25-11-2005,1530
28-11-2005,1535.95
29-11-2005,1545.5
30-11-2005,1545
01-12-2005,1520
02-12-2005,1557.55
05-12-2005,1552
06-12-2005,1530
07-12-2005,1565
08-12-2005,1601
09-12-2005,1620
12-12-2005,1690
13-12-2005,1652
14-12-2005,1665
15-12-2005,1689
16-12-2005,1695
19-12-2005,1719
20-12-2005,1738.7
21-12-2005,1695
22-12-2005,1695
23-12-2005,1690
26-12-2005,1675
27-12-2005,1651
28-12-2005,1694
29-12-2005,1696
30-12-2005,1700
02-01-2006,1707
03-01-2006,1685
04-01-2006,1734.7
05-01-2006,1744
06-01-2006,1727
09-01-2006,1710.15
10-01-2006,1692
12-01-2006,1667
13-01-2006,1674.8
16-01-2006,1651
17-01-2006,1615
18-01-2006,1618
19-01-2006,1633
20-01-2006,1660
23-01-2006,1634
24-01-2006,1638
25-01-2006,1650
27-01-2006,1664
30-01-2006,1665
31-01-2006,1652.1
01-02-2006,1671
02-02-2006,1672
03-02-2006,1650
06-02-2006,1632
07-02-2006,1685
08-02-2006,1675
10-02-2006,1672.1
13-02-2006,1680
14-02-2006,1655
15-02-2006,1655
16-02-2006,1624.95
17-02-2006,1630
20-02-2006,1635
21-02-2006,1658
22-02-2006,1662
23-02-2006,1660.1
24-02-2006,1678
27-02-2006,1670
28-02-2006,1653.3
01-03-2006,1690.55
02-03-2006,1740
03-03-2006,1750
06-03-2006,1715
07-03-2006,1749
08-03-2006,1730
09-03-2006,1717
10-03-2006,1736
13-03-2006,1795
14-03-2006,1824.75
16-03-2006,1817
17-03-2006,1848.4
20-03-2006,1875
21-03-2006,1914
22-03-2006,1915
23-03-2006,1905
24-03-2006,1875
27-03-2006,1895
28-03-2006,1899
29-03-2006,1880
30-03-2006,1905.55
31-03-2006,1970
03-04-2006,1929
04-04-2006,1955
05-04-2006,1952
07-04-2006,1948
10-04-2006,1885
12-04-2006,1900
13-04-2006,1820
17-04-2006,1829
18-04-2006,2000
19-04-2006,2038
20-04-2006,2030
21-04-2006,2009
24-04-2006,2001.1
25-04-2006,1980
26-04-2006,1931
27-04-2006,1958
28-04-2006,1902.1
02-05-2006,2000
03-05-2006,2021.45
04-05-2006,2030
05-05-2006,2041.9
08-05-2006,2000
09-05-2006,2015
10-05-2006,2018.25
11-05-2006,2024.3
12-05-2006,2000
15-05-2006,2002.1
16-05-2006,1975
17-05-2006,2000
18-05-2006,2000
19-05-2006,1961
22-05-2006,1920
23-05-2006,1790
24-05-2006,1830
25-05-2006,1820
26-05-2006,1895.1
29-05-2006,1870
30-05-2006,1854.6
31-05-2006,1840
01-06-2006,1795
02-06-2006,1690
05-06-2006,1795
06-06-2006,1740
07-06-2006,1701
08-06-2006,1701
09-06-2006,1600
12-06-2006,1670
13-06-2006,1580
14-06-2006,1546
15-06-2006,1491
16-06-2006,1575.25
19-06-2006,1685
20-06-2006,1640
21-06-2006,1610
22-06-2006,1650
23-06-2006,1675
26-06-2006,1705
27-06-2006,1638.1
28-06-2006,1601.65
29-06-2006,1709.9
30-06-2006,1720
03-07-2006,1749
04-07-2006,1807
05-07-2006,1800
06-07-2006,1847.8
07-07-2006,1810.1
10-07-2006,1740
11-07-2006,1781.1
12-07-2006,1801.1
13-07-2006,1861.35
14-07-2006,1860
17-07-2006,1872.25
18-07-2006,1870
19-07-2006,1875
20-07-2006,1798
21-07-2006,1799
24-07-2006,1800
25-07-2006,1825
26-07-2006,1885
27-07-2006,1895
28-07-2006,948.1
31-07-2006,900
01-08-2006,901.2
02-08-2006,902.5
03-08-2006,930
04-08-2006,918.15
07-08-2006,950
08-08-2006,907
09-08-2006,947
10-08-2006,935
11-08-2006,1000
14-08-2006,945.1
16-08-2006,973.05
17-08-2006,979
18-08-2006,936.25
21-08-2006,960
22-08-2006,961.15
23-08-2006,950.05
24-08-2006,955
25-08-2006,960
28-08-2006,951.1
29-08-2006,990
30-08-2006,991
31-08-2006,990
01-09-2006,998
04-09-2006,999.2
05-09-2006,1000
06-09-2006,1010
07-09-2006,985
08-09-2006,960
11-09-2006,1000
12-09-2006,959.95
13-09-2006,982
14-09-2006,1000
15-09-2006,1014
18-09-2006,1004
19-09-2006,1004
20-09-2006,1005
21-09-2006,1030
22-09-2006,1049
25-09-2006,1045
26-09-2006,1028
27-09-2006,1051
28-09-2006,1040.3
29-09-2006,1022
03-10-2006,1020
04-10-2006,1009.85
05-10-2006,999.9
06-10-2006,1005
09-10-2006,995.05
10-10-2006,1007
11-10-2006,1030
12-10-2006,1050
13-10-2006,1095
16-10-2006,1120
17-10-2006,1175.2
18-10-2006,1105
19-10-2006,1105
20-10-2006,1099
23-10-2006,1093
26-10-2006,1076
27-10-2006,1085.1
30-10-2006,1085
31-10-2006,1080
01-11-2006,1095
02-11-2006,1090
03-11-2006,1086.9
06-11-2006,1066.7
07-11-2006,1073
08-11-2006,1072
09-11-2006,1075
10-11-2006,1075
13-11-2006,1080
14-11-2006,1075
15-11-2006,1110
16-11-2006,1102
17-11-2006,1090
20-11-2006,1092.35
21-11-2006,1120
22-11-2006,1151
23-11-2006,1140.65
24-11-2006,1148
27-11-2006,1141.05
28-11-2006,1140
29-11-2006,1159
30-11-2006,1180
01-12-2006,1195
04-12-2006,1193.35
05-12-2006,1200
06-12-2006,1195.95
07-12-2006,1200
08-12-2006,1180
11-12-2006,1174.75
12-12-2006,1185
13-12-2006,1149
14-12-2006,1140
15-12-2006,1150.35
18-12-2006,1179
19-12-2006,1180
20-12-2006,1145
21-12-2006,1159
22-12-2006,1151
26-12-2006,1159
27-12-2006,1200
28-12-2006,1209
29-12-2006,1212
02-01-2007,1250
03-01-2007,1200
04-01-2007,1300
05-01-2007,1210
08-01-2007,1265
09-01-2007,1250
10-01-2007,1255
11-01-2007,1245
12-01-2007,1300
15-01-2007,1339
16-01-2007,1399
17-01-2007,1332.9
18-01-2007,1314.6
19-01-2007,1350
22-01-2007,1350
23-01-2007,1325
24-01-2007,1322
25-01-2007,1322
29-01-2007,1230
31-01-2007,1350
01-02-2007,1300
02-02-2007,1315
05-02-2007,1320
06-02-2007,1314.8
07-02-2007,1306
08-02-2007,1325
09-02-2007,1350
12-02-2007,1300
13-02-2007,1280
14-02-2007,1254
15-02-2007,1290
19-02-2007,1295
20-02-2007,1319
21-02-2007,1296
22-02-2007,1300
23-02-2007,1310
26-02-2007,1300
27-02-2007,1295
28-02-2007,1275
01-03-2007,1200
02-03-2007,1211
05-03-2007,1190
06-03-2007,1200
07-03-2007,1220
08-03-2007,1230
09-03-2007,1225
12-03-2007,1175
13-03-2007,1248
14-03-2007,1250
15-03-2007,1235
16-03-2007,1248
19-03-2007,1245
20-03-2007,1265.1
21-03-2007,1280
22-03-2007,1280
23-03-2007,1305
26-03-2007,1293.55
28-03-2007,1260
29-03-2007,1205
30-03-2007,1255
02-04-2007,1223
03-04-2007,1199
04-04-2007,1198
05-04-2007,1200
09-04-2007,1196
10-04-2007,1217
11-04-2007,1197
12-04-2007,1187
13-04-2007,1218
16-04-2007,1298.8
17-04-2007,1320
18-04-2007,1254.7
19-04-2007,1238.9
20-04-2007,1250
23-04-2007,1265
24-04-2007,1245
25-04-2007,1230
26-04-2007,1229
27-04-2007,1235
30-04-2007,1240
03-05-2007,1275
04-05-2007,1299.5
07-05-2007,1280
08-05-2007,1270.15
09-05-2007,1266
10-05-2007,1244
11-05-2007,1232
14-05-2007,1270
15-05-2007,1248
16-05-2007,1240
17-05-2007,1236
18-05-2007,1255
21-05-2007,1265
22-05-2007,1240
23-05-2007,1240
24-05-2007,1232
25-05-2007,1219
28-05-2007,1245
29-05-2007,1227
30-05-2007,1230
31-05-2007,1220
01-06-2007,1220
04-06-2007,1229
05-06-2007,1210
06-06-2007,1215
07-06-2007,1195
08-06-2007,1199.85
11-06-2007,1231
12-06-2007,1220
13-06-2007,1215
14-06-2007,1219.75
15-06-2007,1209.4
18-06-2007,1198
19-06-2007,1158.8
20-06-2007,1170
21-06-2007,1148
22-06-2007,1150
25-06-2007,1140
26-06-2007,1135
27-06-2007,1125
28-06-2007,1139
29-06-2007,1138
02-07-2007,1152
03-07-2007,1136
04-07-2007,1139.6
05-07-2007,1120
06-07-2007,1108
09-07-2007,1160
10-07-2007,1180
11-07-2007,1185
12-07-2007,1150
13-07-2007,1170
16-07-2007,1145
17-07-2007,1162
18-07-2007,1157
19-07-2007,1170
20-07-2007,1178
23-07-2007,1175
24-07-2007,1190
25-07-2007,1190
26-07-2007,1155
27-07-2007,1150
30-07-2007,1150
31-07-2007,1145
01-08-2007,1145
02-08-2007,1121
03-08-2007,1096.2
06-08-2007,1080
07-08-2007,1117
08-08-2007,1124
09-08-2007,1165
10-08-2007,1110
13-08-2007,1149
14-08-2007,1140
16-08-2007,1101
17-08-2007,1118.9
20-08-2007,1087.8
21-08-2007,1069.9
22-08-2007,1020
23-08-2007,1035
24-08-2007,1012.3
27-08-2007,1024.9
28-08-2007,1035
29-08-2007,1017
30-08-2007,1049
31-08-2007,1055
03-09-2007,1071
04-09-2007,1069
05-09-2007,1070
06-09-2007,1065
07-09-2007,1080
